dataID,rating
0,3.39E+00
1,3.89E+00
2,3.19E+00
3,3.03E+00
4,3.37E+00
5,4.26E+00
6,3.70E+00
7,3.37E+00
8,4.07E+00
9,2.26E+00
10,2.59E+00
11,3.37E+00
12,3.82E+00
13,3.42E+00
14,3.74E+00
15,3.31E+00
16,3.95E+00
17,4.06E+00
18,3.71E+00
19,3.49E+00
20,3.87E+00
21,3.59E+00
22,3.47E+00
23,3.31E+00
24,3.87E+00
25,2.96E+00
26,4.06E+00
27,3.74E+00
28,3.17E+00
29,4.10E+00
30,3.61E+00
31,3.90E+00
32,4.17E+00
33,2.48E+00
34,2.15E+00
35,3.80E+00
36,4.12E+00
37,3.33E+00
38,3.09E+00
39,3.59E+00
40,3.91E+00
41,3.23E+00
42,3.54E+00
43,3.31E+00
44,3.22E+00
45,3.88E+00
46,3.73E+00
47,3.10E+00
48,2.50E+00
49,3.07E+00
50,3.94E+00
51,3.23E+00
52,3.37E+00
53,3.14E+00
54,3.52E+00
55,3.40E+00
56,3.93E+00
57,2.37E+00
58,3.63E+00
59,4.34E+00
60,4.19E+00
61,3.40E+00
62,3.78E+00
63,2.55E+00
64,3.71E+00
65,3.90E+00
66,3.61E+00
67,4.35E+00
68,3.70E+00
69,3.55E+00
70,2.70E+00
71,3.58E+00
72,2.84E+00
73,3.94E+00
74,3.24E+00
75,3.54E+00
76,3.44E+00
77,3.64E+00
78,3.75E+00
79,2.39E+00
80,3.42E+00
81,3.51E+00
82,4.16E+00
83,3.81E+00
84,4.36E+00
85,3.88E+00
86,2.78E+00
87,3.56E+00
88,3.61E+00
89,4.16E+00
90,4.30E+00
91,4.17E+00
92,3.19E+00
93,3.53E+00
94,3.70E+00
95,3.17E+00
96,3.80E+00
97,3.75E+00
98,2.81E+00
99,3.95E+00
100,3.94E+00
101,3.21E+00
102,3.33E+00
103,3.73E+00
104,3.60E+00
105,3.36E+00
106,3.84E+00
107,3.49E+00
108,3.80E+00
109,2.75E+00
110,4.28E+00
111,3.51E+00
112,3.96E+00
113,3.21E+00
114,4.12E+00
115,3.31E+00
116,4.22E+00
117,3.62E+00
118,3.82E+00
119,3.62E+00
120,3.46E+00
121,3.15E+00
122,3.99E+00
123,3.76E+00
124,3.76E+00
125,3.72E+00
126,3.48E+00
127,3.87E+00
128,3.77E+00
129,3.85E+00
130,3.36E+00
131,3.31E+00
132,3.52E+00
133,3.73E+00
134,2.43E+00
135,3.07E+00
136,2.75E+00
137,3.19E+00
138,2.84E+00
139,3.97E+00
140,3.37E+00
141,3.07E+00
142,3.15E+00
143,3.50E+00
144,3.53E+00
145,3.41E+00
146,3.41E+00
147,2.97E+00
148,4.24E+00
149,3.55E+00
150,3.67E+00
151,3.58E+00
152,4.28E+00
153,3.64E+00
154,3.67E+00
155,3.61E+00
156,4.05E+00
157,2.85E+00
158,2.90E+00
159,4.01E+00
160,3.61E+00
161,3.25E+00
162,3.55E+00
163,3.58E+00
164,3.88E+00
165,3.85E+00
166,3.67E+00
167,3.79E+00
168,3.44E+00
169,3.70E+00
170,3.78E+00
171,3.22E+00
172,3.43E+00
173,3.40E+00
174,3.92E+00
175,3.54E+00
176,3.83E+00
177,3.95E+00
178,3.68E+00
179,3.01E+00
180,3.15E+00
181,3.58E+00
182,3.55E+00
183,3.01E+00
184,3.60E+00
185,3.74E+00
186,4.15E+00
187,3.58E+00
188,3.81E+00
189,2.35E+00
190,3.62E+00
191,3.47E+00
192,3.83E+00
193,3.15E+00
194,3.59E+00
195,3.68E+00
196,3.27E+00
197,4.07E+00
198,4.30E+00
199,3.46E+00
200,2.65E+00
201,3.60E+00
202,3.09E+00
203,3.18E+00
204,4.16E+00
205,3.81E+00
206,3.48E+00
207,3.72E+00
208,4.06E+00
209,4.33E+00
210,3.61E+00
211,3.51E+00
212,4.45E+00
213,3.58E+00
214,3.41E+00
215,3.20E+00
216,3.63E+00
217,3.63E+00
218,3.51E+00
219,3.03E+00
220,3.14E+00
221,4.27E+00
222,3.91E+00
223,3.56E+00
224,3.87E+00
225,3.39E+00
226,3.26E+00
227,3.64E+00
228,3.35E+00
229,4.11E+00
230,3.81E+00
231,3.38E+00
232,3.15E+00
233,3.85E+00
234,2.92E+00
235,4.16E+00
236,3.56E+00
237,2.75E+00
238,2.97E+00
239,3.80E+00
240,2.95E+00
241,3.59E+00
242,3.22E+00
243,3.85E+00
244,4.55E+00
245,3.12E+00
246,2.53E+00
247,4.16E+00
248,3.56E+00
249,4.11E+00
250,3.45E+00
251,2.89E+00
252,3.82E+00
253,3.35E+00
254,3.18E+00
255,3.41E+00
256,2.75E+00
257,3.72E+00
258,3.39E+00
259,3.28E+00
260,3.40E+00
261,3.27E+00
262,3.14E+00
263,3.21E+00
264,3.52E+00
265,3.47E+00
266,3.39E+00
267,3.53E+00
268,3.15E+00
269,3.29E+00
270,3.41E+00
271,3.35E+00
272,3.68E+00
273,4.03E+00
274,3.62E+00
275,3.93E+00
276,3.28E+00
277,3.79E+00
278,4.38E+00
279,2.96E+00
280,3.48E+00
281,3.91E+00
282,3.58E+00
283,2.60E+00
284,3.97E+00
285,3.29E+00
286,2.77E+00
287,3.71E+00
288,3.27E+00
289,3.34E+00
290,3.59E+00
291,3.87E+00
292,3.58E+00
293,3.39E+00
294,3.29E+00
295,3.56E+00
296,3.91E+00
297,3.45E+00
298,3.90E+00
299,3.89E+00
300,4.04E+00
301,3.35E+00
302,3.06E+00
303,3.78E+00
304,3.45E+00
305,3.29E+00
306,4.13E+00
307,3.41E+00
308,2.86E+00
309,2.60E+00
310,2.48E+00
311,3.85E+00
312,3.62E+00
313,3.87E+00
314,3.32E+00
315,3.64E+00
316,3.45E+00
317,4.47E+00
318,3.54E+00
319,3.63E+00
320,3.65E+00
321,4.58E+00
322,4.03E+00
323,3.38E+00
324,4.18E+00
325,3.52E+00
326,3.41E+00
327,3.88E+00
328,3.23E+00
329,4.02E+00
330,3.94E+00
331,3.06E+00
332,3.63E+00
333,3.63E+00
334,3.37E+00
335,4.07E+00
336,3.79E+00
337,2.84E+00
338,3.64E+00
339,3.34E+00
340,4.15E+00
341,3.52E+00
342,3.70E+00
343,3.64E+00
344,3.58E+00
345,3.20E+00
346,3.40E+00
347,3.88E+00
348,4.08E+00
349,3.69E+00
350,4.06E+00
351,3.05E+00
352,3.63E+00
353,3.45E+00
354,3.10E+00
355,3.02E+00
356,2.68E+00
357,3.76E+00
358,3.47E+00
359,2.51E+00
360,3.42E+00
361,3.79E+00
362,3.94E+00
363,3.40E+00
364,3.95E+00
365,2.85E+00
366,3.58E+00
367,3.42E+00
368,4.29E+00
