,0
0,1644
1,2571
2,965
3,2852
4,2720
5,2429
6,1715
7,1130
8,498
9,2876
10,368
11,449
12,2856
13,2601
14,1724
15,524
16,2166
17,2872
18,513
19,2403
20,1645
21,801
22,1521
23,1123
24,399
25,2046
26,1390
27,2888
28,2396
29,1601
30,106
31,1922
32,2894
33,1015
34,4
35,2501
36,1067
37,1346
38,247
39,1556
40,345
41,2864
42,480
43,1747
44,2351
45,2054
46,2197
47,279
48,907
49,261
50,2244
51,2171
52,2274
53,320
54,1843
55,1158
56,1672
57,2580
58,1103
59,979
60,2811
61,379
62,2142
63,2921
64,1674
65,2030
66,2860
67,2865
68,2548
69,1848
70,2373
71,2709
72,536
73,1706
74,1229
75,22
76,1108
77,47
78,2167
79,374
80,2948
81,1308
82,2093
83,862
84,2620
85,1627
86,1636
87,1685
88,1913
89,94
90,2484
91,2765
92,1318
93,1633
94,209
95,2851
96,1813
97,1327
98,116
99,436
100,1062
101,2730
102,136
103,187
104,2751
105,2402
106,1138
107,2397
108,624
109,2795
110,2792
111,2883
112,466
113,2617
114,2660
115,1051
116,840
117,140
118,309
119,365
120,820
121,1798
122,2367
123,281
124,2079
125,2405
126,1872
127,1063
128,565
129,1291
130,2042
131,2919
132,1431
133,2774
134,2
135,2637
136,2143
137,961
138,427
139,1128
140,2802
141,137
142,2467
143,707
144,239
145,2141
146,2591
147,2559
148,1603
149,1898
150,800
151,626
152,780
153,2458
154,1409
155,1209
156,1033
157,2782
158,2124
159,581
160,1107
161,313
162,1003
163,1401
164,2530
165,373
166,1106
167,1169
168,958
169,1585
170,1565
171,2914
172,1264
173,1877
174,872
175,165
176,1702
177,1831
178,178
179,308
180,2407
181,30
182,2253
183,1527
184,2900
185,1795
186,989
187,372
188,228
189,2906
190,2363
191,2390
192,1980
193,2540
194,400
195,1753
196,2303
197,1486
198,676
199,1285
200,2212
201,2266
202,1482
203,2270
204,1457
205,159
206,1679
207,435
208,2547
209,1697
210,1639
211,1574
212,237
213,208
214,1575
215,1140
216,1864
217,2689
218,42
219,1443
220,2327
221,1787
222,600
223,2945
224,1022
225,2076
226,2827
227,632
228,705
229,15
230,1030
231,980
232,2077
233,120
234,640
235,2700
236,314
237,65
238,2783
239,1448
240,2863
241,1714
242,1160
243,2192
244,2513
245,1146
246,2867
247,284
248,1363
249,1484
250,1709
251,2164
252,514
253,740
254,460
255,1897
256,96
257,158
258,430
259,1505
260,517
261,1760
262,719
263,1350
264,1282
265,13
266,1729
267,974
268,298
269,254
270,2053
271,1382
272,997
273,1799
274,1988
275,1818
276,213
277,2848
278,340
279,2769
280,2690
281,1428
282,529
283,2149
284,2194
285,831
286,876
287,292
288,1083
289,1960
290,674
291,48
292,1551
293,122
294,2607
295,1628
296,914
297,2598
298,2913
299,977
300,1165
301,1802
302,922
303,2435
304,1437
305,1381
306,786
307,2404
308,641
309,2820
310,972
311,2618
312,395
313,883
314,931
315,1905
316,1494
317,416
318,46
319,1886
320,2056
321,828
322,1854
323,599
324,141
325,2090
326,2609
327,1617
328,2035
329,896
330,2018
331,1530
332,1558
333,930
334,1310
335,1004
336,859
337,149
338,981
339,283
340,2385
341,1354
342,2754
343,2621
344,2943
345,2777
346,1143
347,1316
348,2830
349,2733
350,2424
351,57
352,2524
353,450
354,415
355,2321
356,1433
357,1471
358,74
359,539
360,1315
361,2710
362,799
363,1278
364,2012
365,2789
366,545
367,1034
368,1297
369,1829
370,1080
371,1756
372,667
373,156
374,1473
375,1197
376,2785
377,2813
378,554
379,1054
380,906
381,2473
382,289
383,1555
384,1007
385,2060
386,1919
387,2925
388,1495
389,1597
390,62
391,245
392,2112
393,2528
394,858
395,2016
396,2359
397,555
398,1532
399,2074
400,1904
401,1163
402,2731
403,1600
404,918
405,1707
406,653
407,969
408,2481
409,1536
410,1837
411,627
412,2450
413,1678
414,1372
415,168
416,2099
417,150
418,2305
419,2910
420,792
421,1952
422,1166
423,2087
424,2803
425,1894
426,2189
427,1097
428,1048
429,1243
430,1774
431,2773
432,1858
433,271
434,996
435,41
436,562
437,1256
438,1825
439,1582
440,2946
441,729
442,192
443,2009
444,2320
445,2063
446,1182
447,2188
448,2341
449,1769
450,1910
451,2440
452,634
453,1669
454,2681
455,2572
456,817
457,312
458,1979
459,1963
460,381
461,2832
462,882
463,1520
464,262
465,2128
466,1117
467,1087
468,420
469,329
470,1139
471,315
472,1221
473,409
474,1023
475,2695
476,1368
477,306
478,132
479,139
480,522
481,548
482,702
483,1024
484,2255
485,2393
486,753
487,2850
488,1338
489,151
490,2335
491,1791
492,393
493,1531
494,561
495,1483
496,647
497,1164
498,1569
499,2023
500,2276
501,608
502,2652
503,1841
504,992
505,249
506,2846
